account_age_days,followers,following,posts_per_day,duplicate_ratio,is_bot
2834,2312,974,1.29,0.1602,0
728,343,602,3.5,0.046,0
1289,2112,946,2.19,0.1646,0
2143,1308,415,3.42,0.2222,0
788,706,199,0.84,0.2342,0
1600,6293,412,3.26,0.2583,0
820,462,726,1.38,0.2504,0
276,1774,781,2.93,0.1659,0
1421,1913,721,2.53,0.1303,0
1626,1500,304,4.88,0.2022,0
805,1181,572,1.55,0.0979,0
669,1681,400,3.74,0.2208,0
1794,3243,787,6.81,0.1958,0
535,522,216,1.23,0.1389,0
963,1785,579,2.0,0.0805,0
786,2483,395,1.17,0.2549,0
1148,2499,101,3.03,0.1821,0
36,221,4797,26.36,0.8631,1
136,26,3907,6.74,0.9565,1
618,2246,746,6.53,0.1673,0
1133,3684,523,5.3,0.1383,0
824,1180,632,1.18,0.0483,0
1264,3197,599,4.14,0.2034,0
20,58,3821,35.39,0.7679,1
846,460,312,1.32,0.251,0
32,64,2719,19.79,0.5758,1
568,2317,469,3.28,0.2254,0
24,144,3508,27.67,0.7598,1
1119,1928,646,4.17,0.1562,0
38,95,1471,22.68,0.4042,1
1318,7071,402,2.22,0.1012,0
44,79,1891,25.56,0.7776,1
23,138,2758,7.34,0.7299,1
13,4,4998,13.22,0.6456,1
1196,1464,411,10.61,0.2457,0
942,3315,167,5.6,0.1809,0
1006,536,380,1.36,0.1471,0
1021,507,671,2.44,0.0777,0
914,1492,847,0.71,0.0874,0
892,752,939,4.23,0.0153,0
62,88,4141,38.01,0.806,1
593,832,787,2.06,0.1048,0
67,72,4267,14.31,0.6302,1
63,4,4213,47.74,0.907,1
1153,1795,204,2.48,0.2233,0
11,343,2179,33.8,0.8377,1
804,1000,195,3.91,0.2748,0
10,117,3199,16.64,0.9189,1
781,858,679,1.1,0.1231,0
792,857,761,4.95,0.1787,0
1769,887,529,0.97,0.1753,0
596,897,945,2.74,0.2979,0
1072,984,356,3.39,0.077,0
734,1180,735,5.73,0.2804,0
1108,1447,288,1.41,0.0263,0
10,3,4793,26.74,0.9183,1
682,1332,789,5.69,0.1319,0
662,1428,564,3.17,0.1778,0
390,1583,146,1.09,0.1946,0
23,237,2812,20.97,0.4627,1
835,2398,908,4.07,0.0282,0
1123,1441,399,1.65,0.1455,0
850,1651,562,1.42,0.0962,0
147,508,2828,14.23,0.8381,1
1166,1884,54,4.52,0.1134,0
1482,868,396,1.94,0.0752,0
56,112,2761,19.91,0.7525,1
45,33,2880,28.82,0.6514,1
1295,2398,707,3.33,0.2104,0
727,3123,839,0.52,0.1609,0
20,22,1147,21.34,0.8639,1
948,656,474,3.99,0.0647,0
1027,1406,368,0.37,0.0695,0
8,57,3705,24.66,0.6726,1
881,3334,859,0.57,0.2714,0
56,86,2950,21.26,0.3593,1
346,837,706,1.25,0.1372,0
508,859,97,1.2,0.0703,0
963,434,727,0.82,0.153,0
5,14,4541,26.54,0.5029,1
893,621,506,6.33,0.0967,0
798,3349,359,4.77,0.237,0
617,849,871,2.35,0.0637,0
290,1445,945,4.39,0.3295,0
6,64,1025,17.84,0.7913,1
1251,901,727,4.18,0.0548,0
973,1406,331,11.38,0.3472,0
779,1855,792,0.9,0.1843,0
346,1705,528,5.03,0.0521,0
512,553,482,2.2,0.2577,0
32,123,3043,23.96,0.6136,1
1803,664,132,3.78,0.2504,0
1318,970,503,4.88,0.3003,0
605,585,973,7.58,0.0962,0
46,144,1347,40.6,0.8296,1
1631,662,410,1.54,0.2303,0
36,93,1465,5.15,0.8134,1
1473,1884,316,0.5,0.1071,0
801,2242,859,1.58,0.086,0
14,80,1407,32.15,0.6664,1
670,4429,140,6.77,0.0768,0
692,796,612,4.65,0.132,0
598,1631,673,0.49,0.1522,0
36,15,1233,57.75,0.7522,1
711,1975,269,6.59,0.1517,0
1830,358,69,2.56,0.039,0
1820,772,103,0.08,0.0749,0
1471,343,714,3.38,0.0992,0
14,73,3256,21.51,0.613,1
779,1526,181,1.73,0.1892,0
118,39,2277,26.76,0.8208,1
30,22,1915,16.72,0.8653,1
127,72,4198,20.79,0.5559,1
1056,1237,689,3.14,0.237,0
771,796,396,1.72,0.1229,0
598,2794,134,1.18,0.1018,0
69,204,1263,21.71,0.829,1
1136,2078,979,1.96,0.0781,0
601,2656,281,0.67,0.32,0
456,819,726,0.43,0.161,0
57,14,1166,36.96,0.8569,1
988,633,607,1.11,0.3843,0
1433,2448,527,0.52,0.1804,0
2,19,3503,11.61,0.9006,1
74,32,3343,33.87,0.7694,1
883,1545,303,0.96,0.1823,0
109,9,3803,29.43,0.8191,1
1582,623,82,1.23,0.1198,0
14,128,4179,52.47,0.818,1
942,1477,353,4.84,0.2005,0
425,1859,221,5.09,0.3269,0
1794,965,320,1.45,0.0304,0
46,257,4683,24.23,0.3085,1
1023,2388,252,3.2,0.2045,0
522,1318,832,1.79,0.2982,0
752,662,61,3.8,0.4013,0
1084,2095,818,1.42,0.0324,0
444,1266,159,3.25,0.2986,0
657,2155,717,4.47,0.1379,0
425,1441,214,8.04,0.0446,0
680,375,502,2.77,0.0935,0
554,650,784,3.52,0.2088,0
657,2700,595,7.64,0.1438,0
65,3,4698,29.95,0.7668,1
542,1385,915,2.78,0.1254,0
961,2781,568,3.23,0.1145,0
1207,1744,275,1.29,0.0766,0
1393,1363,286,6.13,0.3095,0
416,767,694,4.58,0.074,0
22,187,4004,14.99,0.759,1
70,47,4998,21.06,0.743,1
996,226,916,0.69,0.1736,0
463,1423,445,1.84,0.3917,0
57,11,2215,30.58,0.7267,1
665,1487,747,1.05,0.3299,0
813,3012,948,2.41,0.397,0
1679,2985,797,1.94,0.0906,0
50,45,4419,38.33,0.7162,1
30,85,3337,41.78,0.4119,1
884,698,216,2.59,0.0275,0
1003,1410,383,3.57,0.0967,0
1448,1751,354,2.25,0.3554,0
37,39,1846,22.48,0.627,1
175,29,3990,11.87,0.3644,1
1199,706,611,1.58,0.0878,0
467,2229,387,6.12,0.2229,0
1527,1390,266,1.04,0.2209,0
691,746,728,1.84,0.2733,0
998,1298,834,4.01,0.2818,0
16,43,4067,11.07,0.9551,1
1287,3797,594,3.26,0.1557,0
648,1335,695,4.53,0.2109,0
67,6,2313,23.29,0.7064,1
12,49,2764,25.65,0.5188,1
14,91,3221,35.12,0.8092,1
423,3734,589,5.19,0.3631,0
745,2482,682,4.41,0.1694,0
679,1470,717,1.04,0.182,0
839,3334,51,2.38,0.1829,0
48,87,1194,14.38,0.8051,1
2015,759,842,0.62,0.0745,0
436,1373,306,5.61,0.0897,0
75,82,3926,17.53,0.8278,1
798,2008,756,6.26,0.3307,0
1049,1774,958,5.02,0.1918,0
1000,3153,694,3.0,0.497,0
972,1103,956,5.66,0.1457,0
1026,735,452,4.0,0.3772,0
1803,2081,871,3.47,0.0387,0
59,140,4268,9.59,0.8009,1
235,950,223,1.66,0.1285,0
717,580,887,2.83,0.0617,0
1023,1366,760,4.56,0.4781,0
642,4102,429,2.82,0.2307,0
1189,1353,290,2.51,0.1555,0
1155,633,95,1.09,0.0636,0
612,1026,440,5.45,0.1862,0
825,2086,859,1.21,0.3143,0
1813,1005,932,3.66,0.0896,0
1022,1083,410,0.65,0.004,0
38,29,1078,25.53,0.8566,1
1076,1435,393,2.49,0.2238,0
865,1827,667,3.28,0.2126,0
1495,396,411,2.29,0.2165,0
1181,539,346,3.9,0.0657,0
780,2203,752,1.62,0.2143,0
65,140,4288,40.11,0.5815,1
2267,1899,370,2.7,0.2533,0
55,192,1647,27.97,0.8474,1
956,2341,299,3.66,0.1336,0
44,20,4935,18.7,0.8293,1
4,58,1329,32.47,0.5898,1
62,28,2052,30.21,0.7042,1
468,436,478,0.28,0.0384,0
944,491,429,2.67,0.4354,0
985,890,948,2.1,0.1537,0
626,712,83,2.24,0.1087,0
35,34,1074,19.66,0.4348,1
116,162,3192,34.63,0.6562,1
1342,1407,359,1.29,0.1364,0
1037,2316,234,2.36,0.1792,0
747,1019,600,1.78,0.1659,0
14,19,4093,10.14,0.7941,1
2605,1042,677,0.86,0.056,0
418,1320,551,1.28,0.0653,0
642,1229,343,3.15,0.2739,0
1564,1722,527,3.06,0.0291,0
529,2766,517,1.49,0.3817,0
1502,948,776,1.95,0.0378,0
955,1739,899,4.61,0.0782,0
1365,2092,855,2.2,0.0225,0
32,113,2335,3.73,0.6264,1
70,101,3185,11.85,0.6257,1
342,1647,648,1.02,0.1747,0
11,19,2150,20.37,0.6447,1
264,1409,976,1.0,0.2031,0
1571,1643,819,5.38,0.1677,0
1210,1479,752,2.91,0.3071,0
781,1219,711,2.29,0.182,0
995,157,871,1.84,0.013,0
1077,838,427,4.82,0.0259,0
1059,3302,428,1.6,0.1069,0
1511,780,516,2.35,0.2045,0
878,2661,773,2.89,0.0103,0
12,70,2802,38.25,0.82,1
419,3469,950,9.18,0.6209,0
580,1636,89,2.66,0.1331,0
17,41,3348,27.36,0.7771,1
19,4,2441,21.7,0.5231,1
867,995,819,2.54,0.0797,0
1045,1261,538,7.13,0.0783,0
712,721,202,3.49,0.168,0
56,9,4551,12.9,0.4138,1
601,1439,97,1.84,0.0762,0
1816,3184,209,1.18,0.0707,0
70,91,4422,24.8,0.5934,1
1468,1957,762,2.58,0.114,0
1368,375,582,6.02,0.185,0
859,310,565,8.18,0.1973,0
14,145,3600,17.72,0.8227,1
1418,3359,578,2.99,0.2724,0
766,379,307,4.2,0.1131,0
719,5957,183,1.1,0.022,0
396,2032,955,1.91,0.1329,0
195,1109,81,1.31,0.0885,0
676,710,395,1.47,0.434,0
82,135,2109,36.6,0.7521,1
719,1189,325,3.55,0.1701,0
79,80,1358,9.92,0.5463,1
9,0,3942,30.35,0.9023,1
61,52,4102,20.74,0.921,1
5,14,2436,12.84,0.5296,1
1083,636,112,3.96,0.2347,0
458,1274,779,0.22,0.129,0
96,35,4139,24.58,0.7727,1
78,54,1886,32.01,0.6734,1
12,182,2705,5.69,0.8314,1
1027,957,109,4.28,0.0893,0
633,2204,576,0.76,0.2453,0
376,714,201,0.37,0.1236,0
1374,725,885,2.09,0.0421,0
969,1915,457,4.51,0.0824,0
1721,806,886,1.9,0.1968,0
1174,1913,184,1.39,0.0563,0
839,1212,353,0.58,0.1583,0
797,3617,375,1.98,0.083,0
79,46,4553,10.21,0.7948,1
324,944,518,1.7,0.1261,0
1486,1095,58,0.52,0.1719,0
312,2263,94,8.13,0.4072,0
1191,396,735,1.01,0.1274,0
32,84,1262,17.69,0.8424,1
1282,954,216,4.9,0.0223,0
369,1071,130,4.51,0.2406,0
328,1261,878,4.41,0.0408,0
15,85,3845,7.19,0.4068,1
911,931,69,1.5,0.1591,0
718,4093,307,2.13,0.1579,0
103,76,2594,34.37,0.4576,1
30,111,4288,29.6,0.7973,1
1317,4517,117,1.7,0.2751,0
53,196,3381,10.57,0.7569,1
691,2441,598,4.21,0.0955,0
1109,762,116,3.38,0.0336,0
1231,802,884,2.46,0.0649,0
1083,1110,896,4.16,0.2312,0
40,11,1711,7.57,0.7727,1
1166,2471,733,3.02,0.1577,0
66,32,3741,7.29,0.9188,1
783,1970,101,2.08,0.2478,0
1477,1525,899,5.62,0.2271,0
39,7,4881,38.17,0.9028,1
1936,356,792,2.34,0.0679,0
1269,1904,487,5.3,0.0747,0
1140,2143,593,2.12,0.4395,0
593,3040,986,1.07,0.107,0
652,2726,830,4.32,0.3145,0
518,1634,822,1.5,0.2068,0
26,16,3314,11.12,0.5157,1
10,82,2693,12.76,0.8471,1
58,4,3822,23.74,0.6154,1
1172,4633,413,2.27,0.1639,0
1181,1077,413,3.88,0.0661,0
16,3,2107,21.85,0.5939,1
508,2210,664,0.88,0.2644,0
1241,573,266,3.11,0.3609,0
107,20,3480,14.72,0.6919,1
1478,2847,446,4.0,0.1799,0
90,66,3885,63.02,0.3641,1
611,3423,908,0.59,0.1578,0
1060,502,121,1.42,0.3655,0
37,19,2081,44.38,0.811,1
980,1766,756,3.32,0.0792,0
681,1426,657,0.32,0.0834,0
1520,3002,870,5.05,0.3537,0
691,1732,322,2.57,0.1133,0
1136,609,172,5.61,0.2215,0
1260,1395,667,3.25,0.1255,0
1276,2718,292,3.34,0.1548,0
1393,698,275,3.39,0.1302,0
9,3,1192,14.03,0.5099,1
528,2226,383,4.21,0.0554,0
1075,2130,149,7.85,0.2313,0
40,60,3270,20.06,0.5195,1
79,3,2026,39.82,0.5479,1
1028,1110,602,5.89,0.0659,0
979,1247,435,3.59,0.1947,0
504,992,760,0.38,0.2106,0
25,61,1829,27.38,0.6655,1
49,29,1366,29.26,0.6148,1
770,1009,772,5.5,0.1423,0
79,12,1361,15.6,0.3778,1
17,173,1534,20.52,0.5796,1
1588,2068,481,4.87,0.0931,0
899,1742,673,2.13,0.1412,0
50,102,3418,11.7,0.8977,1
595,1272,511,0.82,0.1716,0
917,270,600,1.34,0.0544,0
693,637,450,1.68,0.1945,0
623,1739,249,4.9,0.1843,0
842,3290,630,2.19,0.1139,0
30,20,1927,25.89,0.7908,1
79,35,2496,14.92,0.9628,1
40,36,3693,20.49,0.3346,1
1984,1831,835,7.26,0.295,0
16,93,1593,13.9,0.9312,1
603,611,807,3.69,0.0462,0
1812,640,231,1.59,0.2479,0
1355,1426,746,3.74,0.093,0
413,3187,585,0.4,0.3554,0
2,171,2312,20.59,0.71,1
1223,1210,104,0.97,0.3301,0
427,962,755,4.83,0.1449,0
1346,1343,701,5.77,0.0282,0
903,1139,485,1.41,0.0514,0
1086,1493,978,2.77,0.0716,0
39,129,2813,15.15,0.6727,1
1483,424,919,1.29,0.0279,0
1841,1460,215,1.12,0.139,0
3,111,1813,5.44,0.7509,1
65,111,3104,19.72,0.7601,1
949,2989,683,6.25,0.1637,0
1022,2572,546,7.06,0.2451,0
449,1146,132,3.61,0.0976,0
24,74,4196,33.51,0.6331,1
60,236,4849,25.38,0.9126,1
30,10,2168,32.54,0.6967,1
744,1779,128,5.12,0.2009,0
27,139,3190,21.09,0.7876,1
1105,810,878,1.22,0.1485,0
1847,1139,975,2.24,0.1266,0
809,2706,981,2.21,0.0504,0
1388,1876,570,1.63,0.0718,0
1184,1664,379,1.65,0.2801,0
1555,3240,316,1.16,0.0445,0
1123,1911,102,4.5,0.1877,0
810,819,133,1.37,0.1654,0
31,66,4670,74.29,0.7524,1
7,74,3850,26.88,0.5829,1
768,2403,320,0.26,0.0167,0
331,2637,508,1.23,0.0527,0
53,118,1379,12.08,0.7593,1
28,31,4343,48.95,0.5771,1
616,4644,114,1.09,0.3331,0
629,1753,903,5.84,0.1049,0
10,107,2718,5.89,0.7691,1
1255,1752,179,1.96,0.0519,0
897,1387,284,2.76,0.1488,0
603,694,260,4.05,0.0899,0
1072,2485,478,3.62,0.1045,0
958,1664,692,1.29,0.0432,0
999,736,298,7.71,0.0352,0
558,835,763,5.83,0.3839,0
35,3,1788,18.83,0.983,1
1043,1742,336,5.4,0.0936,0
1227,1728,858,1.0,0.09,0
782,2351,387,4.66,0.277,0
1389,3151,136,1.6,0.0692,0
835,1604,155,6.03,0.2268,0
520,660,728,2.88,0.0485,0
1011,2438,511,1.58,0.1645,0
520,1942,923,3.5,0.0053,0
21,151,4451,31.97,0.4534,1
1989,721,639,0.95,0.1955,0
5,57,4462,67.1,0.828,1
8,91,3976,17.52,0.8171,1
975,1837,473,6.88,0.1013,0
1151,954,643,3.24,0.3217,0
970,705,498,3.6,0.2711,0
1472,1534,736,3.61,0.2775,0
29,32,3280,11.7,0.7991,1
2215,1708,191,3.4,0.1536,0
1127,1533,681,0.33,0.2252,0
16,29,3282,11.53,0.4918,1
48,202,3877,25.14,0.7449,1
827,436,995,2.09,0.1372,0
1098,976,874,3.11,0.168,0
672,1441,766,3.7,0.0961,0
