Id,Label,labels,group_telegram_peer_id,group_telegram_url,group_id,group_title,group_last_message_fetch_at,group_username,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree
6138,"""bloknotmd""",[Group],,https://t.me/bloknotmd,bloknotmd,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
6139,"""GiveShareBot""",[Group],,https://t.me/GiveShareBot,GiveShareBot,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
6140,"""p0vorot""",[Group],,https://t.me/p0vorot,p0vorot,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
9141,"""findmemd_bot""",[Group],,https://t.me/findmemd_bot,findmemd_bot,,,,1,0.01594,0,0,0,0,1,0,1,1,0,1
9142,"""LuckyWin""",[Group],,https://t.me/LuckyWin,LuckyWin,,,,1,0.01594,0,0,0,0,1,0,1,1,0,1
9143,"""Sladkov_plus""",[Group],,https://t.me/Sladkov_plus,Sladkov_plus,,,,1,0.01594,0,0,0,0,1,0,1,1,0,1
11144,"""RegimDeIpocrizie_Bot""",[Group],,https://t.me/RegimDeIpocrizie_Bot,RegimDeIpocrizie_Bot,,,,1,0.01594,0,0,0,0,1,0,1,1,0,1
13145,"""church_of_st_tatiana""",[Group],,https://t.me/church_of_st_tatiana,church_of_st_tatiana,,,,1,0.01594,0,0,0,0,1,0,1,1,0,1
13146,"""gagauznewsmd""",[Group],1322849982,https://t.me/gagauznewsmd,gagauznewsmd,Gagauznews — Новости для Гагаузии,2026-05-25T21:32:06.678283+00:00,gagauznewsmd,2,0.013624,1,1,1,0,0,5,5,0,12,12
14147,"""pandorapmr""",[Group],,https://t.me/pandorapmr,pandorapmr,,,,2,0.01594,0,0,0,0,1,0,1,1,0,1
14148,"""gagauziarun""",[Group],,https://t.me/gagauziarun,gagauziarun,,,,2,0.01594,0,0,0,0,1,0,1,6,0,6
14149,"""almanah_md""",[Group],,https://t.me/almanah_md,almanah_md,,,,2,0.01594,0,0,0,0,1,0,1,2,0,2
14150,"""yaremshooter""",[Group],,https://t.me/yaremshooter,yaremshooter,,,,2,0.01594,0,0,0,0,1,0,1,1,0,1
14151,"""MoldovaPolitics""",[Group],1352779734,https://t.me/MoldovaPolitics,MoldovaPolitics,Молдавская политика,2026-05-25T21:33:37.103058+00:00,MoldovaPolitics,2,0.013624,1,1,1,0,0,20,20,0,66,66
15152,"""turan_express""",[Group],,https://t.me/turan_express,turan_express,,,,2,0.014203,0,0,0,0,1,0,1,9,0,9
15154,"""wtfmoldova""",[Group],,https://t.me/wtfmoldova,wtfmoldova,,,,2,0.014203,0,0,0,0,1,0,1,11,0,11
15155,"""krujka_md""",[Group],,https://t.me/krujka_md,krujka_md,,,,2,0.014203,0,0,0,0,1,0,1,3,0,3
15158,"""eurasiamoldova""",[Group],,https://t.me/eurasiamoldova,eurasiamoldova,,,,2,0.014203,0,0,0,0,1,0,1,1,0,1
15159,"""enewsmd""",[Group],,https://t.me/enewsmd,enewsmd,,,,2,0.014203,0,0,0,0,1,0,1,2,0,2
15163,"""poleanschi""",[Group],,https://t.me/poleanschi,poleanschi,,,,2,0.014203,0,0,0,0,1,0,1,1,0,1
15164,"""otryadkovpaka""",[Group],,https://t.me/otryadkovpaka,otryadkovpaka,,,,2,0.014203,0,0,0,0,1,0,1,2,0,2
15166,"""suvorovdnestr""",[Group],,https://t.me/suvorovdnestr,suvorovdnestr,,,,2,0.014203,0,0,0,0,1,0,1,3,0,3
15167,"""sputniklive""",[Group],,https://t.me/sputniklive,sputniklive,,,,2,0.014203,0,0,0,0,1,0,1,2,0,2
