word_count,num_links,num_exclam,share_count,is_clickbait
1384,9,1,148.0,0
456,2,8,308.0,1
538,2,1,110.0,0
1463,5,2,91.0,0
330,2,2,30.0,0
369,9,0,36.0,0
416,13,2,18.0,0
339,2,5,339.0,1
773,8,1,17.0,0
316,2,6,462.0,1
387,1,4,719.0,1
523,4,0,36.0,0
411,6,2,55.0,0
439,1,12,527.0,1
1345,8,1,114.0,0
911,3,0,65.0,0
394,10,1,99.0,0
1285,6,1,44.0,0
407,14,0,72.0,0
1218,2,2,84.0,0
936,3,2,19.0,0
1427,5,0,39.0,0
1046,5,1,51.0,0
390,1,7,434.0,1
418,2,6,564.0,1
743,1,2,14.0,0
1173,5,0,123.0,0
429,4,0,34.0,0
1094,9,0,204.0,0
491,3,5,422.0,1
457,11,1,68.0,0
345,6,1,101.0,0
1149,2,1,16.0,0
1203,2,2,153.0,0
309,11,1,49.0,0
1071,7,1,37.0,0
798,5,0,83.0,0
983,10,0,115.0,0
1358,5,1,33.0,0
782,13,3,79.0,0
708,1,0,178.0,0
339,3,10,476.0,1
752,2,0,236.0,0
1200,2,2,79.0,0
449,0,6,806.0,1
429,2,9,485.0,1
442,3,1,78.0,0
398,1,10,764.0,1
1279,7,3,266.0,0
1400,12,2,26.0,0
1246,3,1,28.0,0
193,2,6,591.0,1
923,11,3,39.0,0
1269,7,2,60.0,0
1314,12,1,159.0,0
440,2,7,579.0,1
117,3,4,1340.0,1
802,5,3,187.0,0
909,14,1,87.0,0
347,1,9,639.0,1
1028,1,2,82.0,0
834,12,1,69.0,0
1279,12,0,104.0,0
925,11,0,43.0,0
489,11,3,161.0,0
1336,11,1,15.0,0
1017,11,1,35.0,0
1164,3,2,120.0,0
593,7,1,64.0,0
430,10,2,210.0,0
1111,2,1,55.0,0
715,12,0,28.0,0
250,0,8,340.0,1
1190,10,1,56.0,0
219,1,12,580.0,1
364,0,2,672.0,1
1316,12,2,30.0,0
381,0,3,659.0,1
1476,4,0,9.0,0
274,3,7,373.0,1
1163,12,1,112.0,0
625,8,1,76.0,0
793,11,0,208.0,0
268,3,6,577.0,1
1448,5,1,23.0,0
117,2,7,701.0,1
1096,10,0,146.0,0
131,2,8,303.0,1
555,9,0,124.0,0
1339,12,0,61.0,0
486,1,3,597.0,1
326,2,8,1090.0,1
1464,7,1,12.0,0
597,12,2,115.0,0
896,13,1,55.0,0
404,2,11,368.0,1
409,1,1,46.0,0
307,1,7,1123.0,1
1171,6,1,79.0,0
1130,13,1,48.0,0
1140,6,1,101.0,0
859,11,0,48.0,0
975,6,2,50.0,0
815,12,1,38.0,0
1348,14,1,149.0,0
896,9,1,63.0,0
342,3,5,621.0,1
245,2,7,1545.0,1
1069,1,1,116.0,0
480,9,2,5.0,0
429,2,8,303.0,1
981,13,1,16.0,0
437,2,1,92.0,0
660,9,3,62.0,0
494,3,8,416.0,1
196,0,4,749.0,1
1479,3,1,167.0,0
1118,12,0,89.0,0
973,2,3,79.0,0
660,3,0,124.0,0
570,11,0,149.0,0
195,2,8,1309.0,1
1297,1,1,30.0,0
496,3,10,446.0,1
587,14,2,85.0,0
1000,7,0,29.0,0
726,9,0,126.0,0
138,1,4,898.0,1
1221,8,0,82.0,0
366,2,2,24.0,0
1452,13,1,149.0,0
834,2,1,5.0,0
90,2,8,681.0,1
273,1,6,290.0,1
829,12,2,101.0,0
813,4,1,111.0,0
1491,11,1,123.0,0
1457,14,1,56.0,0
288,3,6,479.0,1
1008,2,0,20.0,0
1483,11,1,175.0,0
1316,11,2,66.0,0
317,9,0,27.0,0
1433,10,0,37.0,0
833,11,3,10.0,0
820,3,2,56.0,0
402,2,9,625.0,1
964,7,0,30.0,0
1050,4,3,125.0,0
562,12,0,79.0,0
181,3,4,299.0,1
949,5,2,58.0,0
200,1,11,602.0,1
987,6,2,121.0,0
990,13,0,72.0,0
1035,9,2,38.0,0
530,5,1,173.0,0
285,2,9,591.0,1
1474,12,0,32.0,0
1296,4,1,23.0,0
338,1,9,519.0,1
597,12,0,8.0,0
991,9,2,24.0,0
1213,14,0,32.0,0
215,2,6,939.0,1
447,6,2,79.0,0
996,3,2,58.0,0
1026,5,0,29.0,0
399,1,7,406.0,1
249,3,5,624.0,1
637,10,2,60.0,0
911,1,2,79.0,0
481,2,1,10.0,0
1339,5,3,113.0,0
139,3,7,794.0,1
1041,4,2,217.0,0
473,2,8,484.0,1
259,1,2,381.0,1
1316,9,1,86.0,0
414,1,6,444.0,1
1463,3,0,91.0,0
371,9,2,36.0,0
342,1,4,5.0,0
1230,10,2,84.0,0
1256,3,1,47.0,0
1072,11,1,3.0,0
186,3,8,862.0,1
1092,4,0,65.0,0
1291,7,1,125.0,0
149,0,4,840.0,1
795,8,2,90.0,0
635,5,0,13.0,0
836,9,2,76.0,0
384,2,12,1036.0,1
991,13,0,120.0,0
905,9,2,56.0,0
1360,3,1,21.0,0
1156,13,2,43.0,0
1123,10,1,163.0,0
336,12,2,104.0,0
1347,5,0,123.0,0
416,12,2,127.0,0
268,3,8,322.0,1
259,3,4,637.0,1
1388,8,1,2.0,0
358,7,0,77.0,0
433,1,5,375.0,1
787,5,2,144.0,0
811,12,0,48.0,0
587,5,1,9.0,0
1486,14,0,30.0,0
1120,11,1,90.0,0
492,9,1,235.0,0
1270,10,1,28.0,0
239,0,7,664.0,1
1441,6,2,16.0,0
344,1,3,237.0,1
438,0,6,425.0,1
1251,10,1,68.0,0
415,2,5,731.0,1
205,3,7,1269.0,1
1440,3,0,26.0,0
956,3,0,96.0,0
317,7,3,30.0,0
570,6,3,44.0,0
273,1,12,918.0,1
390,1,4,971.0,1
212,2,6,767.0,1
765,3,0,106.0,0
1395,5,0,90.0,0
542,4,1,36.0,0
352,3,1,69.0,0
1089,8,2,56.0,0
81,2,9,546.0,1
1007,1,1,137.0,0
663,3,1,118.0,0
1356,8,3,6.0,0
729,5,2,66.0,0
220,0,7,665.0,1
306,2,0,5.0,0
238,0,8,334.0,1
1434,7,3,113.0,0
1065,5,1,49.0,0
1494,9,0,59.0,0
170,1,5,1385.0,1
993,10,2,36.0,0
861,1,2,150.0,0
922,5,0,51.0,0
384,3,9,988.0,1
108,1,5,669.0,1
457,9,1,16.0,0
1499,13,1,104.0,0
915,13,1,19.0,0
85,1,8,621.0,1
1314,2,1,15.0,0
442,0,6,884.0,1
1407,14,0,111.0,0
1272,13,2,105.0,0
642,13,0,50.0,0
1375,13,1,41.0,0
540,1,2,124.0,0
531,7,1,95.0,0
868,2,0,113.0,0
386,1,6,862.0,1
366,12,1,12.0,0
515,11,1,11.0,0
241,2,4,668.0,1
191,2,7,664.0,1
746,10,0,115.0,0
481,0,5,319.0,1
1461,2,0,59.0,0
672,12,0,93.0,0
709,2,1,59.0,0
1460,6,1,17.0,0
295,1,4,276.0,1
1157,6,3,177.0,0
686,2,2,57.0,0
571,10,2,174.0,0
757,4,1,74.0,0
1351,4,3,180.0,0
879,7,2,155.0,0
181,1,2,440.0,1
190,0,8,387.0,1
1201,6,0,65.0,0
1328,6,1,207.0,0
918,8,1,98.0,0
1300,5,2,149.0,0
576,5,0,23.0,0
355,3,3,245.0,1
304,1,2,39.0,0
1433,11,1,43.0,0
147,3,2,877.0,1
173,2,5,409.0,1
1462,12,1,24.0,0
516,13,0,45.0,0
334,2,10,752.0,1
1384,13,1,51.0,0
1314,4,4,89.0,0
268,1,13,1173.0,1
475,0,6,733.0,1
1165,3,2,49.0,0
634,13,0,107.0,0
330,1,5,844.0,1
861,7,3,17.0,0
170,2,4,409.0,1
1017,10,1,36.0,0
241,2,3,378.0,1
713,7,0,20.0,0
530,8,3,289.0,0
605,12,0,93.0,0
1264,10,0,142.0,0
751,4,3,345.0,0
